sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns
S_22_00163,101026,830167,8.217,9.547
S_22_00164,103418,1528353,14.778,17.206
S_22_00165,116839,2381494,20.383,25.017
S_22_00168,112537,2043667,18.160,22.165
S_22_00169,111636,2302714,20.627,25.767
S_22_00170,112844,2627524,23.285,27.956
S_22_00171,129275,4778417,36.963,49.581
S_22_00172,115299,1367503,11.860,14.560
S_22_00174,109435,1452968,13.277,16.026
S_22_00175,103954,1529044,14.709,17.501
S_22_00176,105205,1426281,13.557,16.213
S_22_00178,94321,965948,10.241,11.724
S_22_00179,104353,2027807,19.432,22.834
S_22_00180,107653,1432126,13.303,16.105
S_22_00181,121892,3499572,28.710,35.150
S_22_00183,121335,3121791,25.729,32.177
S_22_00185,122061,3474223,28.463,35.936
S_22_00186,105474,1514050,14.355,16.606
S_22_00187,115881,2447834,21.124,25.868
S_22_00188,118446,3132932,26.450,33.402
S_22_00189,121302,3378333,27.851,35.487
S_22_00190,127535,3388265,26.567,34.230
S_22_00191,124288,3647651,29.348,37.141
S_22_00192,122448,3903196,31.876,39.221
S_22_00193,124371,3711950,29.846,37.898
S_22_00194,121325,3375568,27.823,34.151
S_22_00195,124840,4634749,37.126,47.893
S_22_00196,114133,3269009,28.642,34.492
S_22_00197,125921,4390730,34.869,43.775
S_22_00198,111100,3447991,31.035,37.760
S_22_00199,123954,4567657,36.850,47.891
S_22_00200,118835,3377776,28.424,35.101
S_22_00202,110415,2179253,19.737,23.397
S_22_00203,115109,3336523,28.986,35.202
S_22_00205,98730,1207529,12.231,13.835
S_22_00206,117461,2509617,21.366,25.441
S_22_00207,115992,3071149,26.477,31.949
S_22_00209,103862,1381366,13.300,15.456
S_22_00210,127382,2478758,19.459,25.482
S_22_00211,119923,2609978,21.764,26.732
S_22_00212,119698,3362434,28.091,35.734
S_22_00213,135706,3091851,22.783,32.814
S_22_00214,134741,3391946,25.174,34.368
S_22_00215,111299,2751436,24.721,29.739
S_22_00216,111965,2103283,18.785,22.625
S_22_00217,110334,1949623,17.670,22.059
S_22_00218,111908,2511639,22.444,26.919
S_22_00219,120565,4034524,33.463,41.975
S_22_00220,114238,3014413,26.387,32.276
S_22_00221,128576,5166173,40.180,51.554
S_22_00222,118480,2470226,20.849,25.366
S_22_00223,106030,1867809,17.616,21.322
S_22_00224,114798,2581170,22.484,27.427
S_22_00225,119992,3554728,29.625,38.206
S_22_00226,102500,2022886,19.735,23.212
S_22_00227,105959,1404946,13.259,15.388
S_22_00229,121593,2469495,20.310,26.765
S_22_00230,121170,3162043,26.096,32.501
S_22_00231,133912,3687828,27.539,36.383
S_22_00232,126281,3447123,27.297,36.035
S_22_00233,120030,2962218,24.679,30.835
S_22_00234,109780,1573321,14.332,17.074
S_22_00235,132410,3560190,26.888,36.293
S_22_00237,109151,2055779,18.834,22.754
S_22_00238,117467,2081783,17.722,21.756
S_22_00239,111503,1593228,14.289,17.030
S_22_00240,125435,3831264,30.544,38.781
S_22_00242,123063,1765861,14.349,19.107
S_22_00243,126161,2066596,16.381,21.004
S_22_00246,115890,1493218,12.885,16.359
S_22_00247,106586,1263552,11.855,14.648
S_22_00248,134279,2156597,16.061,22.575
S_22_00249,112523,2251012,20.005,25.293
S_22_00250,115050,2222257,19.316,23.377
S_22_00251,137073,4855857,35.425,47.797
S_22_00252,109002,1427811,13.099,15.691
S_22_00253,115323,1514165,13.130,16.141
S_22_00254,90548,482248,5.326,5.968
S_22_00258,125233,2710183,21.641,28.368
S_22_00261,102656,705052,6.868,8.106
S_22_00263,101136,1096422,10.841,12.994
S_22_00272,128985,2706428,20.983,27.727
S_22_00273,115996,2512015,21.656,26.342
S_22_00274,135654,4501802,33.186,45.004
S_22_00275,122271,2152996,17.608,22.500
S_22_00276,119074,3386524,28.440,35.561
S_22_00278,111307,2828790,25.414,30.892
S_22_00279,117319,2793081,23.808,29.194
S_22_00280,114028,1544988,13.549,16.465
S_22_00286,127510,2134132,16.737,21.868
S_22_00289,121427,1871093,15.409,20.003
S_22_00291,99195,755823,7.620,9.743
S_22_00297,97538,862861,8.846,10.628
S_22_00298,124431,1447396,11.632,16.153
S_22_00300,109808,1106948,10.081,12.171
S_22_00301,95405,864444,9.061,10.573
S_22_00302,115934,953184,8.222,10.999
S_22_00306,84684,511942,6.045,7.091
S_22_07665,119648,2298674,19.212,23.810
S_22_07670,127019,2239970,17.635,23.573
S_22_07675,121431,1471199,12.116,15.792
S_22_07680,162448,3120057,19.206,30.936
S_22_07683,124454,1819792,14.622,18.374
S_22_07685,116805,1556301,13.324,16.463
S_22_07687,125467,1791815,14.281,18.092
S_22_07689,117767,1745303,14.820,18.990
S_22_07690,111209,1994409,17.934,21.667
S_22_07691,116719,1880278,16.109,19.419
S_22_07692,130250,2825190,21.691,28.956
S_22_07694,134895,3100433,22.984,31.473
S_22_07695,114799,1396072,12.161,15.425
S_22_07696,125000,1850270,14.802,19.618
S_22_07697,124362,1294900,10.412,13.532
S_22_07698,109979,829899,7.546,9.486
S_22_07700,135982,1788127,13.150,18.425
S_22_07701,131656,4650085,35.320,46.029
S_22_07703,112015,2172572,19.395,22.981
S_22_07705,126228,1496736,11.857,15.744
S_22_07706,137476,3098121,22.536,32.275
S_22_07707,113799,1116068,9.807,11.879
S_22_07708,104084,1354720,13.016,15.280
S_22_07711,121261,1748137,14.416,18.705
S_22_07712,126279,1676852,13.279,17.223
S_22_07714,115844,1494323,12.899,16.168
S_22_08006,96283,1237441,12.852,14.953
S_22_08008,87312,718786,8.232,9.487
S_22_08009,121902,2103676,17.257,22.127
S_22_08011,118889,3145395,26.457,32.811
S_22_08013,108893,1553840,14.269,16.961
S_22_08015,129913,3474898,26.748,35.004
S_22_08016,117150,3403710,29.054,36.455
S_22_08020,106698,2347745,22.004,26.151
S_22_08021,102753,1872250,18.221,21.866
